epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6856,0.57089,2.45368,1.23891,0.00333,1,0.0995,0.0796,1.16463,3.63412,1.34229,0,0,0
2,30.5462,0.60647,2.51602,1.27609,0.00333,1,0.11056,0.07638,1.00951,3.61402,1.26688,1.505e-05,1.505e-05,1.505e-05
3,46.2668,0.89364,2.56216,1.44047,0.00333,1,0.0995,0.07249,0.80238,3.47703,1.12895,2.02e-05,2.02e-05,2.02e-05
4,61.5647,0.53493,2.41929,1.17421,0.00333,1,0.0995,0.07577,0.73276,3.38568,1.07753,1.545e-05,1.545e-05,1.545e-05
