epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0089,0.57089,2.45368,1.23891,0.00333,1,0.0995,0.0796,1.13787,3.61845,1.32785,0,0,0
2,24.5997,0.60647,2.51602,1.27609,0.00333,1,0.11056,0.07638,0.98959,3.59632,1.25492,1.505e-05,1.505e-05,1.505e-05
3,37.4323,0.89364,2.56216,1.44047,0.00333,1,0.0995,0.06965,0.78481,3.4559,1.11721,2.02e-05,2.02e-05,2.02e-05
4,48.7393,0.53493,2.41929,1.17421,0.00333,1,0.0995,0.07249,0.71778,3.36942,1.06757,1.545e-05,1.545e-05,1.545e-05
