epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07689,1.32911,3.64288,1.74013,0.05,1,0.16583,0.08292,2.33266,4.28554,1.94061,3.845e-05,3.845e-05,3.845e-05
2,8.6343,1.10852,3.59859,1.59127,0.04348,1,0.24875,0.199,1.18147,4.11382,1.13575,6.78412e-05,6.78412e-05,6.78412e-05
3,11.8033,0.86658,3.54493,1.31361,0.04348,1,0.24875,0.199,1.18147,4.11382,1.13575,7.89609e-05,7.89609e-05,7.89609e-05
4,15.228,1.12197,3.6092,1.56857,0.03226,1,0.995,0.995,0.2013,3.70236,0.41783,7.18092e-05,7.18092e-05,7.18092e-05
5,21.9418,0.88296,3.483,1.31379,0.03226,1,0.995,0.995,0.2013,3.70236,0.41783,4.63861e-05,4.63861e-05,4.63861e-05
