epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30203,0.66232,3.72822,1.32662,0.05263,1,0.14214,0.02251,2.92989,4.42281,2.55574,0,0,0
2,10.6751,1.46179,3.80753,2.35825,0.05,1,0.11056,0.02211,2.70303,4.50466,2.30159,6.92869e-06,6.92869e-06,6.92869e-06
3,13.6161,0.82778,3.77102,1.55193,0.05,1,0.11056,0.04422,2.14607,4.32772,1.83556,1.23348e-05,1.23348e-05,1.23348e-05
4,16.2158,0.64058,3.72855,1.43391,0.05263,1,0.12437,0.07462,1.35059,4.01444,1.26325,1.62182e-05,1.62182e-05,1.62182e-05
5,18.3136,0.57465,3.61472,1.21189,0.04545,1,0.16583,0.11608,0.70802,3.85876,0.78122,1.8579e-05,1.8579e-05,1.8579e-05
6,21.6694,0.3753,3.56627,1.07119,0.04348,1,0.199,0.1592,0.40098,3.77069,0.57197,1.94173e-05,1.94173e-05,1.94173e-05
7,24.0979,0.90674,3.64063,1.61758,0.04,1,0.4975,0.24875,0.27119,3.72923,0.45612,1.87328e-05,1.87328e-05,1.87328e-05
8,26.8093,0.32661,3.55718,1.10422,0.03704,1,0.4975,0.44775,0.21397,3.69784,0.40713,1.65258e-05,1.65258e-05,1.65258e-05
9,29.6285,0.535,3.56076,1.0756,0.03448,1,0.4975,0.44775,0.19529,3.68689,0.38851,1.27962e-05,1.27962e-05,1.27962e-05
10,35.6091,0.54297,3.45154,1.31208,0.03333,1,0.995,0.8955,0.18799,3.68469,0.38205,7.54389e-06,7.54389e-06,7.54389e-06
