epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5094,0.8295,2.54693,1.36091,0.00333,1,0.09045,0.05427,1.88077,3.9449,1.75682,0,0,0
2,57.1982,0.89983,2.62197,1.41191,0.00333,1,0.07107,0.04975,1.56706,3.68013,1.56995,1.505e-05,1.505e-05,1.505e-05
3,68.933,1.25198,2.64586,1.65237,0.00333,1,0.09045,0.05497,1.2065,3.61094,1.37189,2.02e-05,2.02e-05,2.02e-05
4,79.8916,0.67808,2.47478,1.23792,0.00333,1,0.11056,0.08071,1.10045,3.59311,1.30721,1.545e-05,1.545e-05,1.545e-05
