epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65353,0.78417,3.57352,1.26485,0,0,0,0,2.95888,4.43937,2.48197,3.076e-05,3.076e-05,3.076e-05
2,15.0618,0.81474,3.53326,1.3489,0.03846,1,0.04975,0.00498,3.06928,4.46746,2.43617,4.63707e-05,4.63707e-05,4.63707e-05
3,21.4864,0.86561,3.44263,1.31526,0.03846,1,0.04975,0.00498,3.06928,4.46746,2.43617,3.66044e-05,3.66044e-05,3.66044e-05
