epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5491,1.37386,3.05851,2.07929,0.00333,1,0.14214,0.07882,0.38991,3.18476,0.81639,0.00018,0.00018,0.00018
2,27.4592,0.94602,2.56079,1.56598,0.00333,1,0.14214,0.07882,0.38991,3.18476,0.81639,0.0002546,0.0002546,0.0002546
3,39.5952,1.34425,2.88842,1.83831,0.00333,1,0.4975,0.36483,0.1871,3.11516,0.4871,0.0001972,0.0001972,0.0001972
