epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7672,0.51599,2.41822,1.21234,0.00333,1,0.0995,0.0796,1.04555,3.64199,1.28793,0,0,0
2,21.5765,0.50039,2.4828,1.21965,0.00333,1,0.0995,0.07417,0.91581,3.59089,1.21199,1.505e-05,1.505e-05,1.505e-05
3,32.5154,0.85103,2.5472,1.41286,0.00333,1,0.0995,0.0796,0.74531,3.40149,1.08797,2.02e-05,2.02e-05,2.02e-05
4,43.6898,0.51285,2.40646,1.16436,0.00333,1,0.09045,0.07764,0.67669,3.32181,1.03605,1.545e-05,1.545e-05,1.545e-05
