epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.94,0.43405,2.35369,1.17255,0.00333,1,0.0995,0.0796,0.76645,3.42957,1.10366,0,0,0
2,22.2262,0.38777,2.41951,1.16358,0.00333,1,0.0995,0.08126,0.73201,3.37045,1.08059,1.505e-05,1.505e-05,1.505e-05
3,33.3818,0.63129,2.49559,1.29591,0.00333,1,0.09045,0.05717,0.65835,3.27788,1.03079,2.02e-05,2.02e-05,2.02e-05
4,44.4326,0.48522,2.37704,1.15574,0.00333,1,0.08292,0.05638,0.63972,3.25687,1.01273,1.545e-05,1.545e-05,1.545e-05
