epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4658,0.57089,2.45368,1.23891,0.00333,1,0.11056,0.07739,1.18296,3.6492,1.35241,0,0,0
2,23.0279,0.60647,2.51602,1.27609,0.00333,1,0.11056,0.08181,1.02403,3.62878,1.27527,1.505e-05,1.505e-05,1.505e-05
3,34.1096,0.89364,2.56216,1.44047,0.00333,1,0.0995,0.0796,0.81536,3.49635,1.13774,2.02e-05,2.02e-05,2.02e-05
4,48.0055,0.53493,2.41929,1.17421,0.00333,1,0.0995,0.0796,0.74436,3.39995,1.08509,1.545e-05,1.545e-05,1.545e-05
