epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35394,1.0342,3.61057,1.50097,0.05263,1,0.16583,0.06633,2.6911,4.27415,2.22127,3.845e-05,3.845e-05,3.845e-05
2,10.8071,1.13539,3.56672,1.58505,0.04348,1,0.33167,0.18242,1.54534,4.14197,1.42147,5.66753e-05,5.66753e-05,5.66753e-05
3,19.107,1.12713,3.49917,1.48983,0.04348,1,0.33167,0.18242,1.54534,4.14197,1.42147,4.44482e-05,4.44482e-05,4.44482e-05
