epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8014,1.09829,2.71871,1.60869,0.00333,1,0.09045,0.05587,0.71741,3.28377,1.07746,8e-05,8e-05,8e-05
2,20.7239,0.87042,2.54012,1.40804,0.00333,1,0.33167,0.09252,0.35225,3.17549,0.73309,0.00014436,0.00014436,0.00014436
3,30.7576,1.09685,2.59972,1.62857,0.00333,1,0.4975,0.25538,0.25541,3.13732,0.55708,0.00016912,0.00016912,0.00016912
4,39.3542,0.82853,2.46151,1.40902,0.00333,1,0.4975,0.34825,0.22319,3.09954,0.48408,0.00015428,0.00015428,0.00015428
5,47.5929,0.92583,2.52827,1.51224,0.00333,1,0.4975,0.2985,0.19864,3.07496,0.44859,9.984e-05,9.984e-05,9.984e-05
