epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84512,0.71039,3.56226,1.25308,0,0,0,0,2.84506,4.4112,2.27822,3.845e-05,3.845e-05,3.845e-05
2,11.4951,0.86211,3.59054,1.40271,0.03704,1,0.08292,0.00829,2.8594,4.28032,2.27103,5.66753e-05,5.66753e-05,5.66753e-05
3,16.4389,0.94909,3.50424,1.29843,0.03704,1,0.08292,0.00829,2.8594,4.28032,2.27103,4.44482e-05,4.44482e-05,4.44482e-05
